custid,retained,created,firstorder,lastorder,esent,eopenrate,eclickrate,avgorder,ordfreq,paperless,refill,doorstep,favday
QPRVDD,1,11/9/2010,5/12/2011,10/21/2013,174,96.55172414,12.64367816,94.5,0.047032475,1,1,0,Friday
HUBE83,1,2/1/2011,2/1/2011,10/27/2013,49,20.40816327,2.040816327,43.21,0.016016016,0,0,0,Monday
GW8AUL,1,9/24/2010,5/5/2011,1/19/2014,51,64.70588235,25.49019608,81.15,0.151515152,1,0,0,Monday
WYSPZ7,0,9/6/2010,3/22/2011,1/14/2014,9,44.44444444,0,213.52,0.150631681,1,1,0,Wednesday
ZLK255,0,8/22/2010,9/6/2011,9/6/2011,0,0,0,146.98,0,0,0,0,Tuesday
FUCUZ2,1,3/29/2010,5/17/2010,1/9/2012,46,8.695652174,4.347826087,83.17,0.006644518,1,0,0,Monday
WP4AGL,0,11/5/2009,11/6/2009,11/6/2009,0,0,0,19.44,0,0,0,0,Friday
B64VK7,0,6/26/2009,8/19/2009,8/26/2009,0,0,0,21.3,0.285714286,0,0,0,Thursday
FQHGUT,1,9/10/2010,12/13/2010,3/5/2012,46,2.173913043,0,110.04,0.040178571,0,0,0,Monday
3PZ4VY,1,4/29/2011,4/29/2011,11/19/2013,40,5,5,99.13,0.002139037,0,0,0,Thursday
Z4Y7TL,0,9/12/2010,11/15/2011,2/27/2012,0,0,0,79.86,0.038461538,1,0,0,Wednesday
EC9F6X,1,5/14/2010,7/27/2010,7/27/2010,39,0,0,49.29,0,0,0,0,Friday
5LQBRS,1,8/26/2009,8/26/2009,8/26/2009,45,15.55555556,0,21.14,0,0,0,0,Thursday
HW5JYT,1,4/22/2011,6/20/2011,7/29/2013,47,12.76595745,2.127659574,66.27,0.006493506,0,0,0,Tuesday
GED7CZ,0,1/28/2011,1/31/2011,1/31/2011,0,0,0,218.86,0,0,0,0,Monday
2HNWMF,0,11/18/2010,12/7/2010,6/30/2011,0,0,0,72.34,0.029268293,0,0,0,Thursday
GE9MH2,1,12/21/2009,11/1/2011,1/16/2014,49,12.24489796,4.081632653,57.83,0.002478315,0,0,0,Wednesday
N8SZJ,1,4/12/2011,4/16/2011,11/24/2013,54,9.259259259,1.851851852,47.22,0.023084995,0,0,0,Monday
EMZJM9,1,1/26/2011,5/23/2011,6/20/2011,16,0,0,66.96,0.071428571,0,0,0,Tuesday
3GMX2Q,1,12/7/2009,11/29/2011,12/7/2011,42,30.95238095,7.142857143,134.22,0.875,0,0,0,Wednesday
QGWUC6,0,10/21/2008,5/21/2010,5/21/2010,0,0,0,44.95,0,0,0,0,Monday
5S7M94,1,1/3/2010,1/11/2010,5/4/2011,47,6.382978723,0,93.04,0.018828452,0,0,0,Monday
V46DVT,0,10/19/2010,10/25/2010,1/18/2014,16,6.25,0,106.87,0.0042337,1,0,0,Monday
NRBENY,1,4/20/2009,5/21/2009,5/21/2009,35,2.857142857,0,90.3,0,0,0,0,Friday
U3QMZX,1,5/10/2010,10/14/2013,10/14/2013,33,6.060606061,3.03030303,72.64,0,1,0,0,Wednesday
HFJZVG,1,2/18/2011,5/5/2011,11/12/2012,42,23.80952381,4.761904762,79.26,0.021543986,0,0,0,Friday
PPNKAB,1,5/5/2010,5/5/2010,2/16/2012,43,30.23255814,20.93023256,47.24,0.007668712,0,0,0,Thursday
PUS9BA,0,12/17/2010,3/8/2011,3/8/2011,0,0,0,96.59,0,0,0,0,Tuesday
4ZJEGC,1,1/22/2011,2/23/2011,9/1/2011,44,2.272727273,0,60.52,0.026315789,0,0,0,Wednesday
EK2D8G,1,11/16/2009,1/10/2011,9/10/2012,45,17.77777778,0,69.23,0.060755337,0,0,0,Tuesday
UR6NKR,0,5/23/2010,5/23/2010,5/23/2011,2,50,0,77.8,0.01369863,0,0,0,Monday
8QWHUD,1,2/21/2011,2/21/2011,3/31/2011,40,27.5,2.5,53.5,0.078947368,0,0,0,Thursday
HZZBHF,1,3/28/2011,7/25/2011,12/1/2013,51,13.7254902,5.882352941,131.24,0.004651163,0,0,0,Tuesday
HGZUR2,1,4/21/2010,10/11/2010,10/11/2010,47,0,0,46.08,0,0,0,0,Tuesday
3Z2MAQ,1,9/30/2009,10/14/2009,11/12/2009,40,40,7.5,80.06,0.172413793,0,0,0,Thursday
QKL28A,0,7/9/2010,1/11/2011,8/10/2012,0,0,0,66.53,0.136915078,1,0,0,Friday
Z7YGH2,1,3/20/2011,3/22/2012,3/5/2013,47,0,0,82.94,0.011494253,0,0,0,Tuesday
WGGVVJ,1,4/18/2009,3/15/2011,1/4/2014,42,57.14285714,2.380952381,105.68,0.063352827,0,0,0,Wednesday
A94C3F,0,4/17/2009,4/17/2009,4/17/2009,0,0,0,24.42,0,0,0,0,Friday
B8T676,1,12/3/2010,12/6/2010,12/6/2010,45,0,0,80,0,0,0,0,Tuesday
878L58,0,5/2/2010,5/2/2010,10/1/2012,0,0,0,50.06,0.011325028,0,0,0,Monday
4UXX6L,0,5/27/2009,5/27/2009,5/27/2009,0,0,0,45.7,0,0,0,0,Thursday
W9A2TB,1,8/28/2010,8/29/2010,4/14/2013,46,6.52173913,0,91.67,0.006256517,0,0,0,Monday
HHVUSX,1,3/22/2011,4/27/2011,12/3/2013,48,18.75,8.333333333,122.69,0.044164038,1,0,0,Thursday
X9QZMN,0,1/15/2011,2/4/2011,3/24/2011,0,0,0,53.97,0.0625,0,0,0,Friday
M2AAV7,1,9/1/2010,10/28/2010,2/23/2011,46,4.347826087,0,119.81,0.076271186,0,0,0,Thursday
NMT966,0,11/15/2009,11/15/2009,11/15/2009,0,0,0,22.84,0,0,0,0,Monday
GMRWFW,0,8/30/2010,9/7/2010,9/16/2010,5,0,0,31.89,0.333333333,0,0,0,Thursday
DFULJF,1,8/25/2010,11/12/2010,6/22/2012,48,8.333333333,0,49.51,0.013605442,0,0,0,Friday
MQJ7VE,1,6/17/2009,6/17/2009,3/10/2010,16,0,0,45.82,0.011278195,0,0,0,Thursday
DSMQXM,0,4/20/2009,7/1/2010,7/1/2010,0,0,0,68.79,0,0,0,0,Friday
CSXWB2,1,6/22/2010,3/20/2011,4/24/2011,18,0,0,75.31,0.114285714,0,0,0,Monday
WKVUNG,0,12/12/2010,11/30/2013,11/30/2013,0,0,0,53.49,0,0,0,0,Tuesday
BTEYSU,0,11/17/2010,6/25/2011,9/5/2011,0,0,0,160.47,0.027777778,0,0,0,Monday
L8BAE8,0,3/6/2011,5/25/2011,4/3/2012,0,0,0,75.76,0.063694268,0,0,0,Friday
